model,epoch_model,org,org_cat,country,date,open_weights,accessibility,arch,moe,N_total,N_active,N,D,D_src,D_flag,D_epoch,epochs,C_epoch,C_method,confidence,C_D_ratio,D_C_mismatch,code,distilled,notable,frontier,hf_dev,core,in_B,M,C6,sample
Mamba2-Hybrid,Mamba2-Hybrid,Nvidia,Industry,United States of America,2024-06-12,True,Open weights (unrestricted),ssm/hybrid,False,8660000000.0,8660000000.0,8660000000.0,3500000000000.0005,Epoch C/(6N) (operation counting),D from compute,,,1.8186e+23,Operation counting,Likely,1.0,False,False,False,False,False,,True,False,404.1570438799077,1.8186e+23,A
Samba 3.8B,Samba 3.8B,"Microsoft,University of Illinois Urbana-Champaign (UIUC)","Industry,Academia","United States of America,United States of America",2024-06-11,False,Unreleased,ssm/hybrid,False,3800000000.0,3800000000.0,3800000000.0,3201754385964.912,Epoch C/(6N) (operation counting),D from compute,,1.0,7.3e+22,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,842.5669436749769,7.3e+22,A
Qwen2-72B,Qwen2-72B,Alibaba,Industry,China,2024-06-07,True,Open weights (unrestricted),dense,False,72710000000.0,72710000000.0,72710000000.0,7000000000000.0,Epoch dataset size x epochs,,7000000000000.0,,3.02e+24,Operation counting,Confident,0.9889253459601417,False,False,False,True,False,Qwen,True,True,96.27286480539128,3.05382e+24,A
Qwen2-7B,Qwen2-7B,Alibaba,Industry,China,2024-06-07,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,7000000000000.0,Epoch dataset size x epochs,,7000000000000.0,,2.9400000000001e+23,Operation counting,Confident,1.000000000000034,False,False,False,False,False,Qwen,True,True,1000.0,2.94e+23,A
Qwen2-1.5B,Qwen2-1.5B,Alibaba,Industry,China,2024-06-07,True,Open weights (unrestricted),dense,False,1500000000.0,1500000000.0,1500000000.0,7000000000000.0,Epoch dataset size x epochs,,7000000000000.0,,6.3e+22,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,4666.666666666667,6.3e+22,A
Qwen2-0.5B,Qwen2-0.5B,Alibaba,Industry,China,2024-06-07,True,Open weights (unrestricted),dense,False,500000000.0,500000000.0,500000000.0,12000000000000.0,Epoch dataset size x epochs,,12000000000000.0,,3.6e+22,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,24000.0,3.6e+22,A
MiniCPM-1.2B,MiniCPM-1.2B,"Tsinghua University,ModelBest","Academia,Industry","China,China",2024-06-03,True,Open weights (restricted use),dense,False,1247442432.0,1247442432.0,1247442432.0,1058165063283.6578,Epoch C/(6N) (operation counting),D from compute,,,7.92e+21,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,848.2676523894754,7.92e+21,A
"Mamba 2, 2.7B","Mamba 2, 2.7B","Princeton University,Carnegie Mellon University (CMU)","Academia,Academia","United States of America,United States of America",2024-05-31,True,Open weights (unrestricted),ssm/hybrid,False,2700000000.0,2700000000.0,2700000000.0,300000000000.0,Epoch C/(6N) (operation counting),D from compute,,,4.86e+21,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,111.11111111111111,4.86e+21,A
Granite 20B,Granite 20B,IBM Research,Industry,United States of America,2024-05-31,True,Open weights (unrestricted),dense,False,20000000000.0,20000000000.0,20000000000.0,2500000000000.0,Epoch dataset size x epochs,,2500000000000.0,,3.0000000000001e+23,Operation counting,Confident,1.0000000000000333,False,False,False,False,False,ibm-granite,True,False,125.0,3e+23,A
ALLaM 34B,ALLaM 34B,Saudi Data and Artificial Intelligence Authority,"Industry,Government",Saudi Arabia,2024-05-21,False,Unreleased,dense,False,34000000000.0,34000000000.0,34000000000.0,5200000000000.0,Epoch dataset size x epochs,,5200000000000.0,1.0,1.0608e+24,,Confident,1.0,False,False,False,False,False,,True,False,152.94117647058823,1.0608e+24,A
Yi-Large,Yi-Large,01.AI,Industry,China,2024-05-13,False,API access,dense,False,100000000000.0,100000000000.0,100000000000.0,3000000000000.0,Epoch dataset size x epochs,,3000000000000.0,,1.8e+24,Operation counting,Speculative,1.0,False,False,False,True,False,,False,False,30.0,1.8e+24,A
Yi-1.5-34B,Yi-1.5-34B,01.AI,Industry,China,2024-05-13,True,Open weights (restricted use),dense,False,34000000000.0,34000000000.0,34000000000.0,3599999999999.9995,Epoch C/(6N) (operation counting),D from compute,,,7.344e+23,Operation counting,Confident,1.0,False,False,False,False,False,01-ai,True,True,105.88235294117645,7.344e+23,A
Yi-1.5-9B,Yi-1.5-9B,01.AI,Industry,China,2024-05-13,True,Open weights (unrestricted),dense,False,8830000000.0,8830000000.0,8830000000.0,3600000000000.0005,Epoch C/(6N) (operation counting),D from compute,,,1.90728e+23,Operation counting,Confident,1.0,False,False,False,False,False,01-ai,True,True,407.7010192525482,1.90728e+23,A
Fugaku-LLM,Fugaku-LLM,"Tohoku University,CyberAgent,Tokyo Institute of Technology,Fujitsu,RIKEN,Nagoya University,Kotoba Technologies","Academia,Industry,Academia,Industry,Academia,Industry","Japan,Japan,Japan,Japan,Japan,Japan,Japan",2024-05-10,True,Open weights (unrestricted),dense,False,13000000000.0,13000000000.0,13000000000.0,380000000000.0,Epoch dataset size x epochs,,380000000000.0,,2.9640000000001e+22,Operation counting,Confident,1.0000000000000338,False,False,False,False,False,,True,False,29.23076923076923,2.964e+22,A
Falcon 2 11B,Falcon 2 11B,Technology Innovation Institute,Government,United Arab Emirates,2024-05-09,True,Open weights (restricted use),dense,False,11000000000.0,11000000000.0,11000000000.0,5500000000000.0,Epoch dataset size x epochs,,5500000000000.0,,3.6e+23,Operation counting,Confident,0.9917355371900827,False,False,False,False,False,tiiuae,True,True,500.0,3.63e+23,A
DeepSeek-V2 (MoE-236B),DeepSeek-V2 (MoE-236B),DeepSeek,Industry,China,2024-05-07,True,Open weights (restricted use),moe,True,236000000000.0,21000000000.0,21000000000.0,8100000000000.0,Epoch dataset size x epochs,,8100000000000.0,,1.02e+24,Operation counting,Confident,0.9994121105232217,False,False,False,False,False,deepseek-ai,True,True,385.7142857142857,1.0206e+24,A
OpenELM-1.1B,OpenELM-1.1B,Apple,Industry,United States of America,2024-05-02,True,Open weights (non-commercial),dense,False,1080000000.0,1080000000.0,1080000000.0,1623507253086.4197,Epoch C/(6N) (operation counting),D from compute,,1.0,1.0520327e+22,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,apple,True,False,1503.2474565614998,1.0520327e+22,A
OpenELM-3B,OpenELM-3B,Apple,Industry,United States of America,2024-05-02,True,Open weights (non-commercial),dense,False,3040000000.0,3040000000.0,3040000000.0,1873420504385.9648,Epoch C/(6N) (operation counting),D from compute,,1.0,3.417119e+22,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,apple,True,False,616.2567448638042,3.417119e+22,A
OpenELM-450M,OpenELM-450M,Apple,Industry,United States of America,2024-05-02,True,Open weights (non-commercial),dense,False,450000000.0,450000000.0,450000000.0,2339132148148.148,Epoch C/(6N) (operation counting),D from compute,,1.0,6.3156568e+21,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,apple,True,False,5198.071440329218,6.3156568e+21,A
OpenELM-270M,OpenELM-270M,Apple,Industry,United States of America,2024-05-02,True,Open weights (non-commercial),dense,False,270000000.0,270000000.0,270000000.0,1695698086419.753,Epoch C/(6N) (operation counting),D from compute,,1.0,2.7470309e+21,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,apple,True,False,6280.363283036122,2.7470309e+21,A
Arctic,Arctic,Snowflake,Industry,United States of America,2024-04-24,True,Open weights (unrestricted),moe,True,480000000000.0,17000000000.0,17000000000.0,3759526960784.314,Epoch C/(6N) (operation counting),D from compute,,,3.8347175e+23,"Other,Operation counting",Confident,1.0,False,False,False,False,False,,True,False,221.14864475201847,3.8347175e+23,A
phi-3-mini 3.8B,phi-3-mini 3.8B,Microsoft,Industry,United States of America,2024-04-23,True,Open weights (unrestricted),dense,False,3800000000.0,3800000000.0,3800000000.0,3300000000000.0,Epoch dataset size x epochs,,3300000000000.0,,7.524e+22,"Hardware,Operation counting",Confident,1.0,False,False,False,True,False,microsoft,True,True,868.421052631579,7.524e+22,A
phi-3-medium 14B,phi-3-medium 14B,Microsoft,Industry,United States of America,2024-04-23,True,Open weights (unrestricted),dense,False,14000000000.0,14000000000.0,14000000000.0,4800000000000.0,Epoch dataset size x epochs,,4800000000000.0,,4.032e+23,Operation counting,Likely,1.0,False,False,False,False,False,microsoft,True,True,342.85714285714283,4.032e+23,A
phi-3-small 7.4B,phi-3-small 7.4B,Microsoft,Industry,United States of America,2024-04-23,True,Open weights (unrestricted),dense,False,7400000000.0,7400000000.0,7400000000.0,4800000000000.0,Epoch dataset size x epochs,,4800000000000.0,,2.1312e+23,Operation counting,Confident,1.0,False,False,False,False,False,microsoft,True,True,648.6486486486486,2.1312e+23,A
Phi-3.5-mini,Phi-3.5-mini,Microsoft,Industry,United States of America,2024-04-23,True,Open weights (unrestricted),dense,False,3800000000.0,3800000000.0,3800000000.0,1627243596491.228,Epoch C/(6N) (operation counting),D from compute,,,3.7101154e+22,"Hardware,Operation counting",Confident,1.0,False,False,False,False,False,microsoft,True,True,428.22199907663895,3.7101154e+22,A
Phi-3.5-MoE,Phi-3.5-MoE,Microsoft,Industry,United States of America,2024-04-23,True,Open weights (unrestricted),moe,True,60800000000.0,6600000000.0,6600000000.0,7626993939393.939,Epoch C/(6N) (operation counting),D from compute,,,3.0202896e+23,"Hardware,Operation counting",Confident,1.0,False,False,False,False,False,microsoft,True,True,1155.605142332415,3.0202896e+23,A
Llama 3-70B,Llama 3-70B,Meta AI,Industry,United States of America,2024-04-18,True,Open weights (restricted use),dense,False,70000000000.0,70000000000.0,70000000000.0,15000000000000.0,Epoch dataset size x epochs,,15000000000000.0,,7.861e+24,"Operation counting,Hardware",Confident,1.2477777777777779,False,False,False,True,False,meta-llama,True,True,214.28571428571428,6.3e+24,A
Llama 3-8B,Llama 3-8B,Meta AI,Industry,United States of America,2024-04-18,True,Open weights (restricted use),dense,False,8000000000.0,8000000000.0,8000000000.0,15000000000000.0,Epoch dataset size x epochs,,15000000000000.0,,7.2e+23,Operation counting,Confident,1.0,False,False,False,True,False,meta-llama,True,True,1875.0,7.2e+23,A
OLMo 1.7-7B,OLMo 1.7-7B,Allen Institute for AI,Research collective,United States of America,2024-04-17,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,,,,,False,False,False,False,False,allenai,True,True,285.7142857142857,8.4e+22,A
HGRN2 3B,HGRN2 3B,"Shanghai AI Lab,Massachusetts Institute of Technology (MIT),Taptap","Academia,Academia,Industry","China,United States of America,Spain",2024-04-11,False,nan,ssm/hybrid,False,2900000000.0,2900000000.0,2900000000.0,100000000000.0,Epoch dataset size x epochs,,100000000000.0,,1.74e+21,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,34.48275862068966,1.74e+21,A
HGRN2 1B,HGRN2 1B,"Shanghai AI Lab,Massachusetts Institute of Technology (MIT),Taptap","Academia,Academia,Industry","China,United States of America,Spain",2024-04-11,False,nan,ssm/hybrid,False,1000000000.0,1000000000.0,1000000000.0,100000000000.0,Epoch dataset size x epochs,,100000000000.0,,6.000000001e+21,Operation counting,Confident,10.000000001666667,True,False,False,False,False,,False,False,100.0,6e+20,A
Viking,Viking,"Silo AI,University of Turku","Industry,Academia","Finland,Finland",2024-04-04,True,Open weights (unrestricted),dense,False,33000000000.0,33000000000.0,33000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,2.574e+23,Operation counting,Confident,0.6499999999999999,True,False,False,False,False,,True,False,60.60606060606061,3.96e+23,A
DBRX,DBRX,Databricks,Industry,United States of America,2024-03-27,True,Open weights (restricted use),moe,True,132000000000.0,36000000000.0,36000000000.0,12000000000000.0,Epoch dataset size x epochs,notes mention words; kept,12000000000000.0,1.0,2.6e+24,Operation counting,Confident,1.0030864197530862,False,False,False,True,False,databricks,True,False,333.3333333333333,2.592e+24,A
Aramco Metabrain AI,Aramco Metabrain AI,Saudi Aramco,"Industry,Government",Saudi Arabia,2024-03-04,False,Unreleased,dense,False,250000000000.0,250000000000.0,250000000000.0,7000000000000.0,Epoch dataset size x epochs,,7000000000000.0,,1.05e+25,Operation counting,Likely,1.0,False,False,False,True,False,,True,False,28.0,1.05e+25,A
StarCoder 2 15B,StarCoder 2 15B,"Hugging Face,ServiceNow,Nvidia,BigCode","Industry,Industry,Industry","United States of America,United States of America,United States of America",2024-02-29,True,Open weights (restricted use),dense,False,15000000000.0,15000000000.0,15000000000.0,4100402700000.0,Epoch dataset size x epochs,,4100402700000.0,4.49,3.87e+23,Reported,Confident,1.048677487213634,False,True,False,False,False,,False,False,273.36018,3.69036243e+23,A
StarCoder 2 7B,StarCoder 2 7B,"Hugging Face,ServiceNow,Nvidia,BigCode","Industry,Industry,Industry","United States of America,United States of America,United States of America",2024-02-29,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,3497059799999.9995,Epoch dataset size x epochs,,3497059799999.9995,5.31,1.55e+23,Reported,Confident,1.055308287972711,False,True,False,False,False,bigcode,False,False,499.57997142857135,1.4687651159999997e+23,A
StarCoder 2 3B,StarCoder 2 3B,"Hugging Face,ServiceNow,Nvidia,BigCode","Industry,Industry,Industry","United States of America,United States of America,United States of America",2024-02-29,True,Open weights (restricted use),dense,False,3000000000.0,3000000000.0,3000000000.0,3098008200000.0005,Epoch dataset size x epochs,,3098008200000.0005,4.98,5.94e+22,Reported,Confident,1.065200537558293,False,True,False,False,False,,False,False,1032.6694000000002,5.5764147600000006e+22,A
Griffin,Griffin,Google DeepMind,Industry,United States of America,2024-02-29,False,Unreleased,ssm/hybrid,False,14000000000.0,14000000000.0,14000000000.0,300000000000.0,Epoch dataset size x epochs,,300000000000.0,,1.5848931924611137e+22,Reported,Confident,0.6289258700242515,True,False,False,False,False,,True,False,21.428571428571427,2.52e+22,A
Hawk,Hawk,Google DeepMind,Industry,United States of America,2024-02-29,False,Unreleased,ssm/hybrid,False,7000000000.0,7000000000.0,7000000000.0,300000000000.0,Epoch dataset size x epochs,,300000000000.0,,3.95e+21,Reported,Confident,0.3134920634920635,True,False,False,False,False,,True,False,42.857142857142854,1.26e+22,A
Nemotron-4 15B,Nemotron-4 15B,Nvidia,Industry,United States of America,2024-02-27,False,Unreleased,dense,False,15000000000.0,15000000000.0,15000000000.0,8333901777777.778,Epoch C/(6N) (operation counting),D from compute,,,7.5005116e+23,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,,True,False,555.5934518518519,7.5005116e+23,A
Gemma 7B,Gemma 7B,Google DeepMind,Industry,United States of America,2024-02-21,True,Open weights (restricted use),dense,False,8538074112.0,8538074112.0,8538074112.0,6000000000000.0,Epoch dataset size x epochs,,6000000000000.0,,3.07e+23,"Operation counting,Hardware",Confident,0.998794068300748,False,False,False,False,False,,True,True,702.7345887718619,3.07370668032e+23,A
Gemma 2B,Gemma 2B,Google DeepMind,Industry,United States of America,2024-02-21,True,Open weights (restricted use),dense,False,2506434560.0,2506434560.0,2506434560.0,3000000000000.0,Epoch dataset size x epochs,,3000000000000.0,,4.5115822e+22,Operation counting,Confident,0.9999999982267862,False,False,False,False,False,,True,True,1196.9193402759336,4.511582208e+22,A
Qwen1.5-72B,Qwen1.5-72B,Alibaba,Industry,China,2024-02-04,True,Open weights (restricted use),dense,False,72000000000.0,72000000000.0,72000000000.0,3000000000000.0,Epoch dataset size x epochs,,3000000000000.0,,1.3e+24,Operation counting,Confident,1.0030864197530862,False,False,False,True,False,Qwen,True,True,41.666666666666664,1.296e+24,A
Qwen1.5-7B,Qwen1.5-7B,Alibaba,Industry,China,2024-02-04,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,3999999999999.9995,Epoch C/(6N) (operation counting),D from compute,,,1.68e+23,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,571.4285714285713,1.68e+23,A
Qwen1.5-14B,Qwen1.5-14B,Alibaba,Industry,China,2024-02-04,True,Open weights (unrestricted),dense,False,14000000000.0,14000000000.0,14000000000.0,3999999999999.9995,Epoch C/(6N) (operation counting),D from compute,,,3.36e+23,Operation counting,Confident,1.0,False,False,False,False,False,Qwen,True,True,285.71428571428567,3.36e+23,A
OLMo-7B,OLMo-7B,"Allen Institute for AI,University of Washington","Research collective,Academia","United States of America,United States of America",2024-02-01,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,2460000000000.0,Epoch dataset size x epochs,,2460000000000.0,1.23,1.0332e+23,Operation counting,Confident,1.0,False,False,False,False,False,allenai,True,True,351.42857142857144,1.0332e+23,A
OLMo-1B,OLMo-1B,"Allen Institute for AI,University of Washington","Research collective,Academia","United States of America,United States of America",2024-02-01,True,Open weights (unrestricted),dense,False,1000000000.0,1000000000.0,1000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,1.0,1.2e+22,Operation counting,Confident,1.0,False,False,False,False,False,allenai,True,True,2000.0,1.2e+22,A
StableLM-2-1.6B,StableLM-2-1.6B,Stability AI,Industry,United Kingdom,2024-01-18,True,Open weights (non-commercial),dense,False,1644417024.0,1644417024.0,1644417024.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,1.92e+22,Operation counting,Confident,0.9729891971733807,False,False,False,False,False,stabilityai,True,True,1216.2364964667258,1.9733004288e+22,A
DeciCoder-6B,DeciCoder-6B,Deci AI,Industry,Israel,2024-01-15,True,Open weights (unrestricted),dense,False,6000000000.0,6000000000.0,6000000000.0,210000000000.0,Epoch C/(6N) (operation counting),D from compute,,,7.56e+21,Operation counting,Likely,1.0,False,True,False,False,False,,False,False,35.0,7.56e+21,A
InternLM2-20B,InternLM2-20B,"Shanghai AI Lab,SenseTime,Chinese University of Hong Kong (CUHK),Fudan University","Academia,Industry,Academia,Academia","China,Hong Kong,Hong Kong,China",2024-01-12,True,Open weights (restricted use),dense,False,20000000000.0,20000000000.0,20000000000.0,2600000000000.0,Epoch dataset size x epochs,,2600000000000.0,1.0,3.12e+23,Operation counting,Confident,1.0,False,False,False,False,False,internlm,True,False,130.0,3.12e+23,A
DeepSeekMoE-16B,DeepSeekMoE-16B,DeepSeek,Industry,China,2024-01-11,True,Open weights (restricted use),moe,True,16000000000.0,2833333333.3333335,2833333333.3333335,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,1.0,3.4e+22,Operation counting,Likely,1.0,False,False,False,False,False,,True,True,705.8823529411765,3.4e+22,A
Stable Code 3B,Stable Code 3B,Stability AI,Industry,United Kingdom,2024-01-09,True,Open weights (non-commercial),dense,False,2796431360.0,2796431360.0,2796431360.0,1255171162148.6035,Epoch C/(6N) (operation counting),D from compute,,,2.106e+22,Operation counting,Likely,1.0,False,True,False,False,False,,False,False,448.8474775753493,2.106e+22,A
DeepSeek LLM 67B,DeepSeek LLM 67B,DeepSeek,Industry,China,2024-01-05,True,Open weights (restricted use),dense,False,67000000000.0,67000000000.0,67000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,1.0,8.04e+23,Operation counting,Confident,1.0,False,False,False,False,False,deepseek-ai,True,True,29.850746268656717,8.04e+23,A
DeepSeek-LLM-1.3b-base,DeepSeek-LLM-1.3b-base,DeepSeek,Industry,China,2024-01-05,False,Unreleased,dense,False,1300000000.0,1300000000.0,1300000000.0,500000000000.0,Epoch dataset size x epochs,,500000000000.0,,3.9e+21,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,384.61538461538464,3.9e+21,A
DeepSeek LLM 7B,DeepSeek LLM 7B,DeepSeek,Industry,China,2024-01-05,True,Open weights (restricted use),dense,False,7000000000.0,7000000000.0,7000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,1.0,8.4e+22,Operation counting,Confident,1.0,False,False,False,False,False,deepseek-ai,True,True,285.7142857142857,8.4e+22,A
Poro 34B,Poro 34B,"High-Performance Language Technologies (HPLT),University of Turku","Research collective,Academia","Multinational,Finland",2023-12-14,True,Open weights (unrestricted),dense,False,34200000000.0,34200000000.0,34200000000.0,1000000000000.0,Epoch dataset size x epochs,,1000000000000.0,,2.052e+23,Operation counting,Confident,1.0,False,False,False,False,False,LumiOpen,True,False,29.239766081871345,2.052e+23,A
Phi-2,Phi-2,Microsoft,Industry,United States of America,2023-12-12,True,Open weights (unrestricted),dense,False,2700000000.0,2700000000.0,2700000000.0,250000000000.0,Epoch dataset size x epochs,,250000000000.0,,2.27e+22,"Operation counting,Hardware",Confident,5.604938271604938,True,False,False,False,False,,True,True,92.5925925925926,4.05e+21,A
CRYSTALCODER,CRYSTALCODER,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Petuum,University of Southern California,Carnegie Mellon University (CMU),University of Illinois Urbana-Champaign (UIUC),University of California San Diego,LLM360","Academia,Industry,Academia,Academia,Academia,Academia,Research collective","United Arab Emirates,United States of America,United States of America,United States of America,United States of America,United States of America",2023-12-11,True,Open weights (unrestricted),dense,False,6700000000.0,6700000000.0,6700000000.0,1382000000000.0,Epoch dataset size x epochs,,1382000000000.0,,5.55564e+22,Operation counting,Confident,1.0,False,False,False,False,False,LLM360,True,False,206.26865671641792,5.55564e+22,A
Amber,Amber,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Petuum,University of Southern California,Carnegie Mellon University (CMU),University of Illinois Urbana-Champaign (UIUC),University of California San Diego,LLM360","Academia,Industry,Academia,Academia,Academia,Academia,Research collective","United Arab Emirates,United States of America,United States of America,United States of America,United States of America,United States of America",2023-12-11,True,Open weights (unrestricted),dense,False,6700000000.0,6700000000.0,6700000000.0,1191494253731.3433,Epoch C/(6N) (operation counting),D from compute,,,4.7898069e+22,"Operation counting,Hardware",Confident,1.0,False,False,False,False,False,LLM360,True,True,177.83496324348408,4.7898069e+22,A
XVERSE-65B-2,XVERSE-65B-2,"XVERSE Technology,Shenzhen Yuanxiang Technology","Industry,Industry","China,China",2023-12-08,True,Open weights (restricted use),dense,False,65000000000.0,65000000000.0,65000000000.0,3200000000000.026,Epoch dataset size x epochs,words->tokens via C/(6N),2600000000000.0,,1.24800000000001e+24,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,49.23076923076963,1.24800000000001e+24,A
Mamba-2.8B,Mamba-2.8B,"Carnegie Mellon University (CMU),Princeton University","Academia,Academia","United States of America,United States of America",2023-12-01,True,Open weights (unrestricted),ssm/hybrid,False,2800000000.0,2800000000.0,2800000000.0,300000000000.0,Epoch dataset size x epochs,,300000000000.0,,5.400000000000001e+21,Operation counting,Likely,1.0714285714285716,False,False,False,False,False,,True,False,107.14285714285714,5.04e+21,A
SEA-LION V1 3B,SEA-LION V1 3B,AI Singapore,Government,Singapore,2023-12-01,True,Open weights (unrestricted),dense,False,3000000000.0,3000000000.0,3000000000.0,980000000000.0,Epoch dataset size x epochs,,980000000000.0,,2.1893426e+22,"Hardware,Operation counting",Confident,1.2411239229024944,False,False,False,False,False,aisingapore,True,False,326.6666666666667,1.764e+22,A
SEA-LION V1 7B,SEA-LION V1 7B,AI Singapore,Government,Singapore,2023-12-01,True,Open weights (unrestricted),dense,False,7000000000.0,7000000000.0,7000000000.0,980000000000.0,Epoch dataset size x epochs,,980000000000.0,,4.3297598e+22,"Hardware,Operation counting",Confident,1.0519338678328474,False,False,False,False,False,aisingapore,True,False,140.0,4.116e+22,A
Qwen-72B,Qwen-72B,Alibaba,Industry,China,2023-11-30,True,Open weights (restricted use),dense,False,72000000000.0,72000000000.0,72000000000.0,3000000000000.0,Epoch dataset size x epochs,,3000000000000.0,,1.3e+24,Operation counting,Confident,1.0030864197530862,False,False,False,True,False,,True,True,41.666666666666664,1.296e+24,A
Granite 13B,Granite 13B,IBM,Industry,United States of America,2023-11-30,False,API access,dense,False,13000000000.0,13000000000.0,13000000000.0,3128205128205.128,Epoch dataset size x epochs,words->tokens via C/(6N),2500000000000.0,1.0,2.44e+23,"Hardware,Operation counting",Likely,1.0,False,False,False,False,False,,True,False,240.63116370808677,2.44e+23,A
Yuan 2.0,Yuan 2.0,Inspur,Industry,China,2023-11-27,True,Open weights (restricted use),dense,False,102600000000.0,102600000000.0,102600000000.0,289148797920.7278,Epoch C/(6N) (operation counting),D from compute,,1.0,1.78e+23,Operation counting,Confident,1.0,False,False,False,False,False,IEITYuan,True,False,2.818214404685456,1.78e+23,A
Nemotron-3-8B,Nemotron-3-8B,Nvidia,Industry,United States of America,2023-11-15,True,Open weights (restricted use),dense,False,8000000000.0,8000000000.0,8000000000.0,3800000000000.0,Epoch dataset size x epochs,,3800000000000.0,,1.8e+23,"Operation counting,Hardware",Confident,0.9868421052631579,False,False,False,True,False,,True,False,475.0,1.824e+23,A
HGRN 1B (WT 103),HGRN 1B (WT 103),"Shanghai AI Lab,Massachusetts Institute of Technology (MIT)","Academia,Academia","China,United States of America",2023-11-08,True,Open weights (unrestricted),ssm/hybrid,False,1000000000.0,1000000000.0,1000000000.0,100000000000.0,Epoch dataset size x epochs,,100000000000.0,,1.96608e+19,Operation counting,Confident,0.032768,True,False,False,False,False,OpenNLPLab,False,False,100.0,6e+20,A
Jais-30b (phase 1),Jais-30b (phase 1),"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42,G42","Industry,Academia,Industry,Industry","United States of America,United Arab Emirates,United Arab Emirates,United Arab Emirates",2023-11-08,True,Open weights (unrestricted),dense,False,30000000000.0,30000000000.0,30000000000.0,427000000000.0,Epoch dataset size x epochs,,427000000000.0,,1.0372049e+23,"Operation counting,Hardware",Confident,1.3494729378090036,False,False,False,False,False,inceptionai,True,False,14.233333333333333,7.686e+22,A
XVERSE-13B-2,XVERSE-13B-2,"XVERSE Technology,Shenzhen Yuanxiang Technology","Industry,Industry","China,China",2023-11-06,True,Open weights (restricted use),dense,False,13000000000.0,13000000000.0,13000000000.0,3200000000000.0,Epoch dataset size x epochs,,3200000000000.0,,,,Likely,,False,False,False,False,False,,True,False,246.15384615384616,2.496e+23,A
DeepSeek Coder 33B,DeepSeek Coder 33B,"DeepSeek,Peking University","Industry,Academia","China,China",2023-11-02,True,Open weights (restricted use),dense,False,33000000000.0,33000000000.0,33000000000.0,2000000000000.0,Epoch dataset size x epochs,,2000000000000.0,,3.96e+23,Operation counting,Likely,1.0,False,True,False,False,False,deepseek-ai,False,False,60.60606060606061,3.96e+23,A
Yi-34B,Yi-34B,01.AI,Industry,China,2023-11-02,True,Open weights (restricted use),dense,False,34000000000.0,34000000000.0,34000000000.0,3100000000000.0,Epoch dataset size x epochs,,3100000000000.0,,6.1e+23,Operation counting,Confident,0.9645793801391523,False,False,False,True,False,01-ai,True,True,91.17647058823529,6.324e+23,A
BlueLM 70B,BlueLM 70B,vivo AI lab,Industry,China,2023-11-02,False,Unreleased,dense,False,70000000000.0,70000000000.0,70000000000.0,1000000000000.0,Epoch C/(6N) (operation counting),D from compute,,,4.2e+23,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,14.285714285714286,4.2e+23,A
BlueLM 130B,BlueLM 130B,vivo AI lab,Industry,China,2023-11-02,False,Unreleased,dense,False,130000000000.0,130000000000.0,130000000000.0,1000000000000.0,Epoch C/(6N) (operation counting),D from compute,,,7.8e+23,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,7.6923076923076925,7.8e+23,A
BlueLM 175B,BlueLM 175B,vivo AI lab,Industry,China,2023-11-02,False,Unreleased,dense,False,175000000000.0,175000000000.0,175000000000.0,1000000000000.0,Epoch C/(6N) (operation counting),D from compute,,,1.05e+24,Operation counting,Confident,1.0,False,False,False,False,False,,True,False,5.714285714285714,1.05e+24,A
