C,price,target,kind,breakeven_r
1e+26,"self-generation, p = 1",0.3333333333333333,rel,3.475008647829056
1e+26,"self-generation, p = 2",0.6666666666666666,rel,4.790395449152567
1e+26,"generator 1/10 of N, p = 2",0.06666666666666667,rel,1.8107398335549338
1e+26,"API, V4.1-Flash off-peak ($0.60/M)",0.6,usd,2.1187148290467097
1e+26,"API, V4-Pro peak ($3.96/M)",3.96,usd,4.615251891486283
9.398037560015233e+26,"self-generation, p = 1",0.3333333333333333,rel,3.4750086348859375
9.398037560015233e+26,"self-generation, p = 2",0.6666666666666666,rel,4.790395449144455
9.398037560015233e+26,"generator 1/10 of N, p = 2",0.06666666666666667,rel,1.8107398351709048
9.398037560015233e+26,"API, V4.1-Flash off-peak ($0.60/M)",0.6,usd,1.4721407673443245
9.398037560015233e+26,"API, V4-Pro peak ($3.96/M)",3.96,usd,2.859133839542659
