corpus,conv,path,sample,scheme,C,sigma,sigma_identity,ci_lo,ci_hi,se,lnN_star,M_star,n_eff
edu,P,P,main,wild,786122714009990.6,0.6602754671923714,0.6602754699866085,0.6541272903870381,0.6718894190225717,0.005366601028275979,14.469383224678234,17.510758148331078,6.4661192327021695
edu,P,P,main,wild,1272550101415638.0,0.6518632190206076,0.6518632188985477,0.6385586744280908,0.6688122562043729,0.008671002423776065,14.723294812547834,18.44445290444313,8.251984941458403
edu,P,P,main,wild,2059963071608128.8,0.6491086994749563,0.6491086994749293,0.6325848899143709,0.6661855113135721,0.010152889776279208,14.994335912551458,18.73365674137584,9.478033624710072
edu,P,P,main,wild,3334601798128504.0,0.6522786642885146,0.6522786642788146,0.6383287499976374,0.666199475573613,0.008635447173043837,15.285768351038628,18.22010991085803,10.793336754095339
edu,P,P,main,wild,5397945868709802.0,0.663664280849709,0.663664280705251,0.6534548237443987,0.6736851998804327,0.006181868982392496,15.59054336898265,17.160885600333838,12.08853930006237
edu,P,P,main,wild,1.4144826187963902e+16,0.6802228149709015,0.6802228141094198,0.672587748188529,0.6876144130140628,0.004437129775322255,16.2090091979591,14.612027892503928,13.418286446156767
edu,P,P,main,wild,2.2897188542209296e+16,0.6793281190169314,0.679328119013873,0.6730565074352842,0.6855667902792975,0.003411273304706055,16.506093844720493,13.638333830449383,12.615495516852638
edu,P,P,main,wild,3.7065230506939544e+16,0.6773003101010255,0.677300310100887,0.6715708228869441,0.6831363646274331,0.0032162598392093933,16.796410365609596,12.815721337491617,10.80759159343831
edu,P,P,main,wild,6.000000000000018e+16,0.6765983527547638,0.6765983526414643,0.6691723872732036,0.6841234369091316,0.004483001589950852,17.08859055042641,11.93915753061212,8.605244337372959
edu,P,P6,main,wild,485630326692018.8,0.6532323397648515,0.6532323375342575,0.6373354241472988,0.6712914097692244,0.009663446669371805,14.233082092033598,35.11207724804024,6.7402343559292595
edu,P,P6,main,wild,786122714009990.6,0.6516365030424524,0.6516365016905795,0.6418217509690562,0.6640151559039773,0.007195729610901553,14.486554057747131,34.23561361894763,8.276693020755731
edu,P,P6,main,wild,1272550101415638.0,0.6550957393273477,0.6550957393271443,0.6465192325260068,0.6639868205405807,0.005049113582110537,14.748893452920502,32.79423903995141,9.324883946611749
edu,P,P6,main,wild,2059963071608128.8,0.6555867662618916,0.6555867662618922,0.6461755517230249,0.6653976847878671,0.005426854378123834,15.031205102347801,30.183480675527253,10.038660170149909
