C,r,N_star,N_c,shadow_rel,shadow_flop,usd_per_Mtok_amortized,usd_per_Mtok_cloud
1e+26,1.1,893815831152.9764,899888231834.6371,0.0063349791750942,34204639251.508602,0.034731929217603305,0.12902430259025555
1e+26,1.25,893815831152.9764,908265590142.1233,0.016947918818326902,92359268923.25089,0.09378305577920858,0.3483910522471809
1e+26,1.5,893815831152.9764,920922415120.0211,0.03761156558797887,207824002906.35947,0.21102776455519268,0.7839388931817377
1e+26,2.0,893815831152.9764,943603852236.8181,0.09019227038992705,510634642691.51917,0.5185064556772303,1.9261796087731509
1e+26,3.0,893815831152.9764,985202863045.116,0.24111388016840887,1425276510371.0005,1.4472482083416478,5.376326480063102
1e+26,4.0,893815831152.9764,1026038691589.6758,0.45448408539903856,2797909537986.96,2.841041395469015,10.554074966116467
1e+26,6.0,893815831152.9764,1111040676779.352,1.0756327380550952,7170430351528.5625,7.2809678709901995,27.047786371176812
1e+26,8.0,893815831152.9764,1203473916215.6394,1.9683817088475275,14213376262523.797,14.432486033933733,53.61468502095495
1e+26,16.0,893815831152.9764,1681164188855.0007,8.609881566444765,86847747358738.4,88.18657000859783,327.600883380219
9.398037560015233e+26,1.1,2762337276951.11,2781103980967.93,0.006334979281114613,105709416588.34325,0.10733900590454395,0.3987495278709079
9.398037560015233e+26,1.25,2762337276951.11,2806994248228.4966,0.016947918822767166,285436263929.70544,0.28983647633431525,1.0767023331747037
9.398037560015233e+26,1.5,2762337276951.11,2846110209222.159,0.03761156490651907,642279953191.5948,0.6521811765973281,2.422762667335909
9.398037560015233e+26,2.0,2762337276951.11,2916207109934.053,0.09019227087886335,1578116049588.2363,1.60244388278543,5.952856897785608
9.398037560015233e+26,3.0,2762337276951.11,3044768791901.851,0.2411138842134984,4404816179684.978,4.4727196987649815,16.61553368369648
9.398037560015233e+26,4.0,2762337276951.11,3170971945870.8433,0.4544840854008433,8646937707905.055,8.780236686949927,32.617362197574586
9.398037560015233e+26,6.0,2762337276951.11,3433670528871.3345,1.0756327380584647,22160210595363.18,22.501826731337047,83.59116715998752
9.398037560015233e+26,8.0,2762337276951.11,3719335336322.935,1.9683817418107785,43926430606138.3,44.603589220052065,165.69615111453868
9.398037560015233e+26,16.0,2762337276951.11,5195636892620.145,8.609881566451696,268402909846479.3,272.54054042319785,1012.45032878427
